BackupFile,SrcPath,BackupLines,SrcLines,LineDifferences,DiffFile
"migration-helper.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\migration-helper.js",237,231,524,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\migration-helper.js__vs__migration-helper.js.txt"
"module-monitor.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\module-monitor.js",175,181,23,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\module-monitor.js__vs__module-monitor.js.txt"
"panel-shortcuts.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\panel-shortcuts.js",41,41,14,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\panel-shortcuts.js__vs__panel-shortcuts.js.txt"
"preset-layout-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\preset-layout-manager.js",734,821,195,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\preset-layout-manager.js__vs__preset-layout-manager.js.txt"
"project-organizer.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\project-organizer.js",142,142,8,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\project-organizer.js__vs__project-organizer.js.txt"
"project-tools.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\project-tools.js",19,19,14,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\project-tools.js__vs__project-tools.js.txt"
"saved-scripts.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\saved-scripts.js",49,51,14,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\saved-scripts.js__vs__saved-scripts.js.txt"
"secure-api-settings-ui.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\secure-api-settings-ui.js",711,503,975,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\secure-api-settings-ui.js__vs__secure-api-settings-ui.js.txt"
"secureAPIStorage.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\storage\secureAPIStorage.js",345,221,630,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\secureAPIStorage.js__vs__secureAPIStorage.js.txt"
"settings-manager.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\init\settings-manager.js",194,38,265,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\settings-manager.js__vs__settings-manager.js.txt"
"simple-file-upload.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\simple-file-upload.js",290,302,553,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\simple-file-upload.js__vs__simple-file-upload.js.txt"
"simple-project-context.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\simple-project-context.js",139,151,29,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\simple-project-context.js__vs__simple-project-context.js.txt"
"simple-toast.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\simple-toast.js",102,109,15,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\simple-toast.js__vs__simple-toast.js.txt"
"simple-youtube-helper.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\simple-youtube-helper.js",292,298,33,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\simple-youtube-helper.js__vs__simple-youtube-helper.js.txt"
"smart-api-detector.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ai\smart-api-detector.js",307,15,369,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\smart-api-detector.js__vs__smart-api-detector.js.txt"
"status-bar-enhancer.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\status-bar-enhancer.js",419,451,174,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\status-bar-enhancer.js__vs__status-bar-enhancer.js.txt"
"storage-integration.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\storage-integration.js",487,511,1111,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\storage-integration.js__vs__storage-integration.js.txt"
"storage.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\storage.js",328,36,417,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\storage.js__vs__storage.js.txt"
"tab-switching.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\tab-switching.js",54,54,20,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\tab-switching.js__vs__tab-switching.js.txt"
"tutorial-session.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\utils\tutorial-session.js",109,109,19,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\tutorial-session.js__vs__tutorial-session.js.txt"
"ui-animator.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\ui-animator.js",369,378,24,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ui-animator.js__vs__ui-animator.js.txt"
"ui-bootstrap.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\ui-bootstrap.js",940,859,1878,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ui-bootstrap.js__vs__ui-bootstrap.js.txt"
"ui-enhancements.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\ui\ui-enhancements.js",207,221,53,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ui-enhancements.js__vs__ui-enhancements.js.txt"
"ui-initializer.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\core\ui-initializer.js",627,724,255,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\ui-initializer.js__vs__ui-initializer.js.txt"
"utility-loader.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\init\utility-loader.js",44,13,65,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\utility-loader.js__vs__utility-loader.js.txt"
"voice-features.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\features\voice-features.js",486,520,155,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\voice-features.js__vs__voice-features.js.txt"
"youtube-analysis-cascade.js","G:\Developments\15_AI_AE\Adobe_AI_Generations\src\js\features\youtube-analysis-cascade.js",448,511,169,"G:\Developments\15_AI_AE\Adobe_AI_Generations\module_reports\diffs_all\youtube-analysis-cascade.js__vs__youtube-analysis-cascade.js.txt"
